MarketID,MarketSize,LocationID,AgeOfStore,Promotion,week,SalesInThousands,Date
1,Small,1,4,1,1,23.97,01-01-2025
1,Large,1,4,1,2,34.39,08-01-2025
1,Small,1,4,1,3,28.74,15-01-2025
1,Large,1,4,3,4,28.52,22-01-2025
1,Large,2,5,3,1,20.37,01-01-2025
1,Small,2,5,3,2,20.45,08-01-2025
1,Large,2,5,2,3,23.82,15-01-2025
1,Large,2,5,2,4,15.27,22-01-2025
1,Small,3,12,1,1,32.18,01-01-2025
1,Large,3,12,1,2,26.15,08-01-2025
1,Small,3,12,3,3,30.72,15-01-2025
1,Large,3,12,3,4,19.53,22-01-2025
1,Small,4,1,2,1,32.53,01-01-2025
1,Medium,4,1,3,2,27.55,08-01-2025
1,Small,4,1,2,3,13.17,15-01-2025
1,Large,4,1,3,4,25.42,22-01-2025
1,Medium,5,10,3,1,20.77,01-01-2025
1,Large,5,10,2,2,21.27,08-01-2025
1,Medium,5,10,1,3,36.15,15-01-2025
1,Medium,5,10,3,4,17.8,22-01-2025
1,Medium,6,10,2,1,26.91,01-01-2025
1,Large,6,10,3,2,13.09,08-01-2025
1,Small,6,10,3,3,40.79,15-01-2025
1,Medium,6,10,1,4,25.94,22-01-2025
1,Large,7,15,3,1,40.07,01-01-2025
1,Small,7,15,1,2,24.78,08-01-2025
1,Medium,7,15,2,3,33.26,15-01-2025
1,Small,7,15,3,4,24.14,22-01-2025
1,Medium,8,10,1,1,29.73,01-01-2025
1,Medium,8,10,3,2,26.79,08-01-2025
1,Medium,8,10,3,3,23.25,15-01-2025
1,Medium,8,10,1,4,17.61,22-01-2025
1,Large,9,6,3,1,35.84,01-01-2025
1,Large,9,6,3,2,27.81,08-01-2025
1,Medium,9,6,2,3,35.65,15-01-2025
1,Medium,9,6,2,4,32.04,22-01-2025
1,Medium,10,5,2,1,29.52,01-01-2025
1,Medium,10,5,1,2,18.48,08-01-2025
1,Small,10,5,2,3,22.82,15-01-2025
1,Small,10,5,2,4,21.1,22-01-2025
1,Small,11,5,2,1,22.94,01-01-2025
1,Medium,11,5,3,2,37.01,08-01-2025
1,Large,11,5,3,3,30.79,15-01-2025
1,Medium,11,5,1,4,23.03,22-01-2025
1,Large,12,12,1,1,20.98,01-01-2025
1,Small,12,12,1,2,25.19,08-01-2025
1,Large,12,12,1,3,25.71,15-01-2025
1,Medium,12,12,1,4,36.24,22-01-2025
1,Large,13,12,2,1,29.82,01-01-2025
1,Small,13,12,1,2,22.17,08-01-2025
1,Large,13,12,2,3,19.28,15-01-2025
1,Large,13,12,3,4,25.68,22-01-2025
2,Medium,101,22,3,1,63.52,01-01-2025
2,Large,101,22,3,2,51.4,08-01-2025
2,Small,101,22,2,3,41.05,15-01-2025
2,Large,101,22,1,4,43.24,22-01-2025
2,Medium,102,8,1,1,56.79,01-01-2025
2,Medium,102,8,1,2,57.46,08-01-2025
2,Medium,102,8,2,3,41.14,15-01-2025
2,Medium,102,8,3,4,42.67,22-01-2025
2,Small,103,22,1,1,38.25,01-01-2025
2,Medium,103,22,2,2,53.25,08-01-2025
2,Large,103,22,3,3,54.78,15-01-2025
2,Large,103,22,3,4,42.71,22-01-2025
2,Large,104,19,3,1,37.26,01-01-2025
2,Medium,104,19,1,2,39.29,08-01-2025
2,Medium,104,19,3,3,51.55,15-01-2025
2,Medium,104,19,3,4,49.9,22-01-2025
2,Large,105,8,1,1,43.56,01-01-2025
2,Small,105,8,1,2,34,08-01-2025
2,Large,105,8,1,3,45.05,15-01-2025
2,Large,105,8,3,4,34.92,22-01-2025
2,Medium,106,5,2,1,38.33,01-01-2025
2,Small,106,5,1,2,57.43,08-01-2025
2,Small,106,5,2,3,28.36,15-01-2025
2,Medium,106,5,3,4,46.83,22-01-2025
3,Large,201,4,1,1,62.08,01-01-2025
3,Medium,201,4,3,2,58.1,08-01-2025
3,Medium,201,4,2,3,76.83,15-01-2025
3,Small,201,4,1,4,44.85,22-01-2025
3,Small,202,8,2,1,53.43,01-01-2025
3,Medium,202,8,3,2,59.12,08-01-2025
3,Medium,202,8,3,3,52.49,15-01-2025
3,Large,202,8,3,4,67.94,22-01-2025
3,Medium,203,12,3,1,61.96,01-01-2025
3,Medium,203,12,3,2,45.68,08-01-2025
3,Medium,203,12,1,3,75.1,15-01-2025
3,Medium,203,12,1,4,59.26,22-01-2025
3,Medium,204,1,1,1,85.4,01-01-2025
3,Medium,204,1,2,2,80.37,08-01-2025
3,Medium,204,1,2,3,77.1,15-01-2025
3,Large,204,1,1,4,72.52,22-01-2025
3,Small,205,19,3,1,63.28,01-01-2025
3,Large,205,19,3,2,80.77,08-01-2025
3,Small,205,19,3,3,80.54,15-01-2025
3,Medium,205,19,3,4,53.22,22-01-2025
3,Small,206,11,2,1,60.4,01-01-2025
3,Large,206,11,3,2,81.62,08-01-2025
3,Large,206,11,2,3,66.03,15-01-2025
3,Medium,206,11,2,4,56.04,22-01-2025
3,Large,207,1,3,1,74.49,01-01-2025
3,Small,207,1,3,2,71.79,08-01-2025
3,Medium,207,1,3,3,67.12,15-01-2025
3,Medium,207,1,2,4,73.23,22-01-2025
3,Small,208,1,3,1,74.99,01-01-2025
3,Large,208,1,2,2,50.3,08-01-2025
3,Large,208,1,1,3,52.74,15-01-2025
3,Large,208,1,2,4,66.31,22-01-2025
3,Medium,209,1,1,1,58.03,01-01-2025
3,Medium,209,1,2,2,54.89,08-01-2025
3,Large,209,1,3,3,90.95,15-01-2025
3,Small,209,1,1,4,85.18,22-01-2025
3,Medium,210,19,3,1,75.05,01-01-2025
3,Small,210,19,1,2,59.98,08-01-2025
3,Small,210,19,1,3,65.16,15-01-2025
3,Large,210,19,3,4,52.77,22-01-2025
3,Large,211,13,1,1,59.89,01-01-2025
3,Small,211,13,3,2,65.89,08-01-2025
3,Medium,211,13,2,3,69.99,15-01-2025
3,Small,211,13,1,4,66.4,22-01-2025
3,Large,212,3,1,1,72.62,01-01-2025
3,Small,212,3,1,2,81.01,08-01-2025
3,Large,212,3,2,3,62.94,15-01-2025
3,Small,212,3,3,4,79.42,22-01-2025
3,Large,213,4,1,1,42.95,01-01-2025
3,Medium,213,4,2,2,53.39,08-01-2025
3,Large,213,4,2,3,44.4,15-01-2025
3,Large,213,4,3,4,77.75,22-01-2025
3,Large,214,5,2,1,63.22,01-01-2025
3,Large,214,5,2,2,47.95,08-01-2025
3,Small,214,5,2,3,56.48,15-01-2025
3,Medium,214,5,1,4,60.7,22-01-2025
3,Small,215,7,3,1,75.71,01-01-2025
3,Large,215,7,1,2,67.83,08-01-2025
3,Small,215,7,2,3,75.95,15-01-2025
3,Large,215,7,1,4,57.28,22-01-2025
3,Medium,216,4,3,1,57.2,01-01-2025
3,Small,216,4,1,2,65.16,08-01-2025
3,Small,216,4,2,3,49.73,15-01-2025
3,Medium,216,4,3,4,51.25,22-01-2025
3,Small,217,5,1,1,58.07,01-01-2025
3,Medium,217,5,1,2,58.94,08-01-2025
3,Small,217,5,1,3,55.95,15-01-2025
3,Medium,217,5,1,4,77.16,22-01-2025
3,Medium,218,2,1,1,64.9,01-01-2025
3,Large,218,2,2,2,72.43,08-01-2025
3,Large,218,2,1,3,79.11,15-01-2025
3,Small,218,2,1,4,48.54,22-01-2025
3,Medium,219,7,1,1,52.21,01-01-2025
3,Small,219,7,3,2,48.8,08-01-2025
3,Large,219,7,1,3,47.63,15-01-2025
3,Large,219,7,3,4,61.15,22-01-2025
3,Large,220,3,1,1,73.88,01-01-2025
3,Medium,220,3,2,2,82.47,08-01-2025
